epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,20.0,0.0,2.7161187410354612,0.0032492257521455374,0.256,0.04843781809931391,0.30751063829787234,0.07408485279876431,0.30388509712742817,0.06804387409456018
2,60.6,1.8,2.6034991979599,0.009838280211015507,0.4176666666666667,0.07834468002927121,0.5002553191489362,0.09450889476966691,0.49719492987324687,0.0874005731931172
3,108.4,2.939387691339814,2.4914364576339723,0.021191144157857635,0.5273333333333334,0.06440841904941033,0.5800212765957447,0.08577737880321586,0.5786994674866872,0.0826759980995755
4,159.2,3.6,2.408619499206543,0.023659040246910627,0.6243333333333334,0.06230837289910027,0.6435106382978724,0.08075157652835825,0.6435460886522163,0.07860518691478802
5,210.6,4.199999999999999,2.330570340156555,0.02943922261661823,0.6783333333333335,0.058637303257681725,0.687531914893617,0.07575377664726775,0.6869646741168529,0.07065456129282478
6,262.6,4.199999999999999,2.278305697441101,0.012640391089191605,0.7176666666666667,0.05711683931498079,0.711531914893617,0.06416986003627874,0.7128853221330533,0.06008834982326103
7,314.6,4.199999999999999,2.2345163345336916,0.018292034846112828,0.7609999999999999,0.055857954770212555,0.7447234042553192,0.05200261162783932,0.7464036600915023,0.049662034939622304
8,366.6,4.199999999999999,2.1964553117752077,0.018847020402265748,0.7933333333333333,0.0572130521239108,0.768063829787234,0.044888519424211154,0.7687917197929948,0.041559202212445634
9,418.6,4.199999999999999,2.143966865539551,0.019602398434014987,0.818,0.055681634714189604,0.7859574468085107,0.04405509123619866,0.7881722043051077,0.04073953903414613
10,470.6,4.199999999999999,2.1160793781280516,0.02063497355980143,0.8406666666666667,0.04574810257146069,0.8051276595744682,0.03311836598755788,0.8070951773794345,0.031352416543016196
11,522.6,4.199999999999999,2.0865880250930786,0.022843235692273745,0.8483333333333334,0.044253060157839176,0.8201063829787234,0.03056747873145885,0.8198004950123753,0.031414205656025554
12,574.6,4.199999999999999,2.046044039726257,0.027701073478440922,0.8746666666666666,0.04621688003316536,0.8317446808510638,0.02831175471349302,0.8318307957698943,0.028925838098187297
13,626.6,4.199999999999999,2.0160848259925843,0.019675265739328804,0.8876666666666667,0.04386975673007038,0.8403829787234042,0.026872736305434585,0.8408385209630241,0.02646770263502862
14,678.6,4.199999999999999,1.9990542531013489,0.0207665665450659,0.8973333333333333,0.04363484845854285,0.8486170212765958,0.02525546254597303,0.8489687242181054,0.024844263276159222
15,730.6,4.199999999999999,1.968580460548401,0.019669788098253156,0.9073333333333332,0.03878143885933063,0.8543404255319148,0.023912319086074472,0.8553288832220807,0.022765347438119313
16,782.6,4.199999999999999,1.948828887939453,0.028345632586660417,0.9179999999999999,0.034583232931581165,0.8595531914893616,0.02375776540272123,0.8609915247881197,0.02271054299473706
17,834.6,4.199999999999999,1.9135504007339477,0.015392074149217172,0.9270000000000002,0.03184860017855311,0.8646382978723404,0.021328192756236302,0.8659491487287182,0.02093587164443198
18,886.6,4.199999999999999,1.9020983934402467,0.035036761118252796,0.9369999999999999,0.030274668545758766,0.8707446808510639,0.016736514270121735,0.872436810920273,0.01731691784339112
19,938.6,4.199999999999999,1.8888627529144286,0.02616257988107009,0.9396666666666667,0.029756418541962412,0.8732340425531915,0.018955715468854505,0.875369384234606,0.019037421758075455
20,991.2,4.48998886412873,1.8667450070381164,0.01614732531343764,0.9436666666666668,0.025274053449689828,0.8771702127659573,0.017958518169109604,0.8789319732993326,0.01758623008439079
21,1043.8,4.686149805543993,1.8424587845802307,0.026660138038375813,0.9463333333333331,0.02258071940591994,0.8812340425531915,0.01612305553774611,0.8822770569264232,0.016108167912320264
22,1095.8,4.686149805543993,1.829563844203949,0.0309559562044025,0.9523333333333334,0.021707653540219918,0.8831489361702127,0.013054470276710688,0.884414610365259,0.013877837938559495
23,1148.4,3.97994974842648,1.8235509634017943,0.02772039862320327,0.9560000000000001,0.020428737928059434,0.8860425531914894,0.011827644073430269,0.886987174679367,0.01214070713535106
24,1202.2,5.4,1.8106417655944824,0.016289067214822643,0.958,0.020558858593479033,0.8873829787234042,0.011179449068931558,0.8888247206180155,0.011675604787425704
25,1256.0,6.572670690061994,1.7917300462722778,0.016411433878415538,0.9613333333333334,0.0208273324690844,0.8895957446808509,0.00997118982508309,0.8908947723693093,0.011223952290816077
26,1309.8,8.919641248391102,1.7630830645561217,0.035257351945703605,0.9610000000000001,0.021137118483316904,0.8932340425531915,0.009464522399269029,0.8939548488712218,0.010581137897408988
27,1366.0,11.696153213770756,1.7560770511627197,0.02502386116890898,0.9663333333333333,0.0188826787176914,0.8934468085106385,0.009074312188429147,0.8953798844971125,0.010109988465841926
28,1421.6,14.745846872933408,1.7428515076637268,0.02609411788497256,0.9683333333333334,0.015293426329272613,0.8957659574468085,0.0088052465943404,0.8971724293107328,0.009805588070981638
29,1476.6,17.889661819050687,1.7424057841300964,0.029718801594933314,0.9730000000000001,0.015014807506073613,0.8968510638297873,0.008855154537511196,0.898267456686417,0.0099030426360477
30,1533.4,21.20471645648675,1.7152904391288757,0.024556578040905084,0.9723333333333333,0.014067298564006122,0.8981063829787234,0.007682854692400203,0.899017475436886,0.008822860482559093
31,1589.6,25.2,1.7092317819595337,0.0403524757287753,0.9713333333333333,0.01839081896551161,0.8991914893617021,0.007513259743830946,0.9002100052501312,0.008616357599619049
32,1646.4,29.41836161311503,1.7001856327056886,0.02413723314148229,0.9756666666666666,0.012387269450708031,0.900595744680851,0.007347545113451531,0.9018150453761343,0.00821230803781825
